'Frame','Jitter'
'355','0.160719'
'356','0.105181'
'357','0.159806'
'358','0.129003'
'359','0.128208'
'360','0.128884'
'361','0.128547'
'362','0.127778'
'363','0.128195'
'364','0.164134'
'365','0.129345'
'366','0.127883'
'367','0.128361'
'368','0.127774'
'369','0.12821'
'370','0.128109'
'371','0.16065'
'372','0.131824'
'373','0.129259'
'374','0.129016'
'375','0.128988'
'376','0.128308'
'377','0.127897'
'378','0.159477'
'379','0.12914'
'380','0.138014'
'381','0.129048'
'382','0.12907'
'383','0.133496'
'384','0.122607'
'385','0.128274'
'386','0.128919'
'387','0.160595'
'388','0.104013'
'389','0.12807'
'390','0.159448'
'391','0.129115'
'392','0.128236'
'393','0.128243'
'394','0.128232'
'395','0.127849'
'396','0.132705'
'397','0.128315'
'398','0.160338'
'399','0.128337'
'400','0.128152'
'401','0.128014'
'402','0.127958'
'403','0.128203'
'404','0.134044'
'405','0.159382'
'406','0.128228'
'407','0.12894'
'408','0.129243'
'409','0.128087'
'410','0.127959'
'411','0.160592'
'412','0.104396'
'413','0.159618'
'414','0.128128'
'415','0.128362'
'416','0.127709'
'417','0.128234'
'418','0.128078'
'419','0.160466'
'420','0.10424'
'421','0.160914'
'422','0.128916'
'423','0.128213'
'424','0.128014'
'425','0.128096'
'426','0.127849'
'427','0.160635'
'428','0.104343'
'429','0.161052'
'430','0.12773'
'431','0.128271'
'432','0.12794'
'433','0.128312'
'434','0.127848'
'435','0.160357'
'436','0.134276'
'437','0.129102'
'438','0.128065'
'439','0.128084'
'440','0.128056'
'441','0.128093'
'442','0.127954'
'443','0.160466'
'444','0.132176'
'445','0.129216'
'446','0.128044'
'447','0.128178'
'448','0.128027'
'449','0.128022'
'450','0.160448'
'451','0.128298'
'452','0.136826'
'453','0.128057'
'454','0.128112'
'455','0.128239'
'456','0.127762'
'457','0.128161'
'458','0.160544'
'459','0.128473'
'460','0.118865'
'461','0.127962'
'462','0.168812'
'463','0.128411'
'464','0.128985'
'465','0.128192'
'466','0.128563'
'467','0.127595'
'468','0.127911'
'469','0.160682'
'470','0.133028'
'471','0.12927'
'472','0.127754'
'473','0.128288'
'474','0.128036'
'475','0.129131'
'476','0.159313'
'477','0.129153'
'478','0.129043'
'479','0.133167'
'480','0.127946'
'481','0.128316'
'482','0.310811'
'483','0.1'
'484','0.100001'
'485','0.1'
'486','0.100001'
'487','0.1'
'488','0.127662'
'489','0.128087'
'490','0.128134'
'491','0.127883'
'492','0.160549'
'493','0.128086'
'494','0.129436'
'495','0.137005'
'496','0.128096'
'497','0.128061'
'498','0.127893'
'499','0.129036'
'500','0.160526'
'501','0.128156'
'502','0.128139'
'503','0.13612'
'504','0.127948'
'505','0.128228'
'506','0.127976'
'507','0.129016'
'508','0.160562'
'509','0.12903'
'510','0.129264'
'511','0.133285'
'512','0.127736'
'513','0.128103'
'514','0.128018'
'515','0.128529'
'516','0.160931'
'517','0.129292'
'518','0.128994'
'519','0.133235'
'520','0.128067'
'521','0.127957'
'522','0.127946'
'523','0.159676'
'524','0.128911'
'525','0.12936'
'526','0.128212'
'527','0.135922'
'528','0.128144'
'529','0.128055'
'530','0.127938'
'531','0.160542'
'532','0.128916'
'533','0.128417'
'534','0.128074'
'535','0.136443'
'536','0.127919'
'537','0.12907'
'538','0.129259'
'539','0.128048'
'540','0.128085'
'541','0.16163'
'542','0.126802'
'543','0.133167'
'544','0.127952'
'545','0.128294'
'546','0.12809'
'547','0.127946'
'548','0.12808'
'549','0.159566'
'550','0.128837'
'551','0.132165'
'552','0.12815'
'553','0.128045'
'554','0.12787'
'555','0.128341'
'556','0.160733'
'557','0.128899'
'558','0.128174'
'559','0.136074'
'560','0.127989'
'561','0.128039'
'562','0.128144'
'563','0.128182'
'564','0.160276'
'565','0.128195'
'566','0.128062'
'567','0.137088'
'568','0.127808'
'569','0.128095'
'570','0.128057'
'571','0.128787'
'572','0.159994'
'573','0.12925'
'574','0.128014'
'575','0.133022'
'576','0.127922'
'577','0.128148'
'578','0.127928'
'579','0.160716'
'580','0.128064'
'581','0.129159'
'582','0.128095'
'583','0.137935'
'584','0.128748'
'585','0.128089'
'586','0.12812'
'587','0.160788'
'588','0.129074'
'589','0.128135'
'590','0.127962'
'591','0.133149'
'592','0.127962'
'593','0.128078'
'594','0.127945'
'595','0.16071'
'596','0.127798'
'597','0.129552'
'598','0.128056'
'599','0.137798'
'600','0.128966'
'601','0.128176'
'602','0.127876'
'603','0.160721'
'604','0.128956'
'605','0.128294'
'606','0.129099'
'607','0.120044'
'608','0.160231'
'609','0.138842'
'610','0.128924'
'611','0.12911'
'612','0.129033'
'613','0.128232'
'614','0.127847'
'615','0.160849'
'616','0.128958'
'617','0.13393'
'618','0.128052'
'619','0.129213'
'620','0.128026'
'621','0.128034'
'622','0.128963'
'623','0.159593'
'624','0.129061'
'625','0.13326'
'626','0.12884'
'627','0.128281'
'628','0.127975'
'629','0.128092'
'630','0.128004'
